35352;14835;33450;14813
31750;14550;31614;14883
31656;14608;31524;14226
31790;14561;34538;14475
31845;14576;31586;14218
31617;14993;31704;14382
31641;14606;31657;14340
31948;14451;35160;14349
31916;14480;32583;14468
31939;14672;31712;14345
32340;14490;32115;15996
33519;14738;34584;17793
37143;17609;41273;17379
35603;18531;34869;16768
36082;16854;32985;14474
31893;14709;32232;14442
31542;14500;31633;14393
31932;15222;33076;15046
32096;14565;32002;14861
31704;14809;32098;14401
31597;14565;31886;14399
31769;14669;32874;16543
35355;16547;32162;14630
32023;14729;31739;14457
32554;14524;31701;14445
31632;14656;32189;14459
31742;14524;31997;14392
32173;14632;31824;14471
32082;14515;31737;14506
31896;17202;33894;14907
31882;14796;31988;14388
31968;14540;32342;14642
31713;14944;32358;14410
34930;14530;31976;14505
31732;14632;31586;14241
32014;14730;31831;14389
31917;14564;31528;14406
31639;15492;32370;14348
31682;14609;32285;14376
31619;14513;31807;14729
31611;14536;32987;15738
32983;14486;31678;14628
32092;14509;31777;14298
31657;14748;36493;14459
31812;14509;31758;14402
31580;14484;31583;14513
31609;14651;32593;14495
33188;14573;31636;17441
31653;14463;31797;15617
31780;14928;31626;14329
31716;14558;31815;14360
31529;14658;31679;14507
31584;14826;31645;14574
32086;14618;31582;14379
32092;14543;31649;14424
31598;14582;31567;14302
31615;14573;31702;14403
31555;14571;31790;14534
31812;14613;34653;14363
31769;14726;31675;14392
31799;14536;31560;14307
31844;14631;31851;14324
31764;14705;31708;14373
31665;14499;31559;14612
32044;14707;31668;14272
31908;14451;32151;14345
32110;14598;33240;15430
31633;14700;31557;14368
31766;14461;31862;14410
31874;14494;32083;14385
31698;14525;31765;14462
31840;14541;31680;14496
31936;14673;31601;14529
31610;14618;31579;14270
32027;14533;32078;15535
36978;15847;36255;18552
38905;19158;33971;15440
32035;15250;33523;15941
33926;15220;32629;17039
33427;15855;33537;14717
32304;15752;32862;15157
37712;33049;41138;19122
35900;16669;35748;15950
34739;14940;31638;14300
31528;14532;31760;14579
32242;18895;32009;15188
31655;15217;31626;15288
31821;15332;31462;15197
31509;15114;31589;15104
32096;15454;31677;15145
31532;15511;31604;15435
31916;16214;31712;14995
32888;15156;32302;15124
31701;15441;31650;15168
31638;15848;31536;15387
31877;15339;35381;15161
31664;15226;31774;15415
31667;15713;31952;15098
32156;15251;31697;15172
32303;15425;31470;15587
